k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time
10 3 11 0.088 25 1 0.0001375 3.395 0.5031 0.1036 0.2009 0 0.0010579 0.036851 0.16264 3065.9 100000 100 100 0.5264 0.10317 0.20092
10 3 11 0.088 25 1 0.000175 3.395 0.4763 0.10603 0.17909 0 0.0010656 0.03654 0.14124 2664.5 100000 100 100 0.5023 0.10595 0.18008
10 3 11 0.088 25 1 0.00025 3.395 0.4044 0.10533 0.12823 0 0.0010551 0.035966 0.090969 1695.7 100000 100 100 0.4329 0.10758 0.12669
10 3 11 0.088 25 1 0.000375 3.395 0.3052 0.09669 0.070491 0 0.0010725 0.034332 0.034783 625.69 100000 100 100 0.3277 0.10086 0.068321
10 3 11 0.088 25 1 0.0005 3.395 0.2509 0.088788 0.052876 0 0.0010487 0.032929 0.018605 313.63 100000 100 100 0.2693 0.090758 0.05155
10 3 11 0.088 25 1 0.00075 3.395 0.1763 0.069318 0.039911 0 0.0010403 0.030618 0.007974 112.46 100000 100 100 0.1884 0.072318 0.038754
10 3 11 0.088 25 1 0.001 3.395 0.1274 0.051941 0.034972 0 0.0010289 0.029033 0.0046053 52.11 100000 100 100 0.1366 0.056377 0.034231
10 3 11 0.088 25 1 0.001375 3.395 0.0847 0.035632 0.032243 0 0.00096171 0.028275 0.0026676 22.408 100000 100 100 0.0878 0.037128 0.031274
10 3 11 0.088 25 1 0.00175 3.395 0.0569 0.025438 0.030107 0 0.00084679 0.027225 0.0017295 11.611 100000 100 100 0.0577 0.024725 0.029143
10 3 11 0.088 25 1 0.0025 3.395 0.0294 0.012869 0.028354 0 0.00078776 0.026479 0.00086536 4.335 100000 100 100 0.0302 0.01196 0.028019
10 3 11 0.088 25 1 0.00375 3.395 0.0126 0.0053466 0.028637 0 0.00082809 0.027224 0.0003768 1.232 100000 100 100 0.0124 0.0041704 0.026921
10 3 11 0.088 25 1 0.005 3.395 0.0061 0.0024152 0.027018 0 0.0007704 0.025863 0.0001938 0.403 100000 100 100 0.0059 0.0017169 0.026156
10 3 11 0.088 25 1 0.0075 3.395 0.0013 0.00060892 0.028636 0 0.00081442 0.027545 9.5484e-05 0.048 100000 100 100 0.0012 0.00021878 0.032489
10 3 11 0.088 25 1 0.01 3.395 0.0007 0.00024976 0.028793 0 0.00092899 0.027631 5.5305e-05 0.015 100000 100 100 0.0002 1.998e-05 0.026137
10 3 13 0.088 25 1 1e-07 6.71941 0.3371 0.10408 0.081632 0 0.0016063 0.025521 0.054283 892.29 100000 100 100 0.3463 0.10619 0.075753
10 3 13 0.088 25 1 1.375e-07 6.7194 0.3371 0.10408 0.081133 0 0.0014254 0.028351 0.051049 892.29 100000 100 100 0.3463 0.10619 0.078656
10 3 13 0.088 25 1 1.75e-07 6.7194 0.3371 0.10408 0.075278 0 0.0014239 0.023529 0.050102 892.29 100000 100 100 0.3463 0.10619 0.073329
10 3 13 0.088 25 1 2.5e-07 6.7194 0.3371 0.10408 0.075454 0 0.0014075 0.02356 0.050272 892.29 100000 100 100 0.3463 0.10619 0.073757
10 3 13 0.088 25 1 3.75e-07 6.7194 0.3371 0.10408 0.075172 0 0.0014011 0.023479 0.050076 892.29 100000 100 100 0.3463 0.10619 0.0735
10 3 13 0.088 25 1 5e-07 6.7194 0.3371 0.10408 0.075228 0 0.0014346 0.02348 0.050092 892.29 100000 100 100 0.3463 0.10619 0.073806
10 3 13 0.088 25 1 7.5e-07 6.7194 0.3371 0.10408 0.075394 0 0.0014234 0.02355 0.050202 892.29 100000 100 100 0.3463 0.10619 0.073577
10 3 13 0.088 25 1 1e-06 6.7194 0.3371 0.10408 0.076306 0 0.0014208 0.023798 0.050864 892.29 100000 100 100 0.3463 0.10619 0.073498
10 3 13 0.088 25 1 1.375e-06 6.7194 0.3371 0.10408 0.07546 0 0.0014084 0.023553 0.050263 892.29 100000 100 100 0.3463 0.10619 0.07363
10 3 13 0.088 25 1 1.75e-06 6.7194 0.3371 0.10408 0.075372 0 0.0014227 0.023578 0.050152 892.29 100000 100 100 0.3463 0.10619 0.073549
10 3 13 0.088 25 1 2.5e-06 6.7194 0.3371 0.10408 0.076228 0 0.0014468 0.023753 0.050801 892.29 100000 100 100 0.3463 0.10619 0.07383
10 3 13 0.088 25 1 3.75e-06 6.7194 0.3371 0.10408 0.075411 0 0.0014092 0.023586 0.050201 892.29 100000 100 100 0.3463 0.10619 0.074691
10 3 13 0.088 25 1 5e-06 6.7194 0.3371 0.10408 0.077586 0 0.0014239 0.024115 0.051823 892.29 100000 100 100 0.3463 0.10619 0.074494
10 3 13 0.088 25 1 7.5e-06 6.7194 0.3371 0.10408 0.0762 0 0.0014403 0.023834 0.050709 892.29 100000 100 100 0.3463 0.10619 0.073995
10 3 13 0.088 25 1 1e-05 6.7194 0.3371 0.10408 0.079116 0 0.0014467 0.024872 0.052564 892.29 100000 100 100 0.3463 0.10619 0.075926
10 3 13 0.088 25 1 1.375e-05 6.7194 0.3371 0.10408 0.07797 0 0.0014246 0.024569 0.051751 892.29 100000 100 100 0.3463 0.10619 0.076312
